id,claim,category,abstract,title,gold_evidence,label,cited_doc_ids,evidence,verification_result,reason,matched
235,Cell autonomous sex determination in somatic cells occurs in Galliformes.,cellular,"In the mammalian model of sex determination, embryos are considered to be sexually indifferent until the transient action of a sex-determining gene initiates gonadal differentiation. Although this model is thought to apply to all vertebrates, this has yet to be established. Here we have examined three lateral gynandromorph chickens (a rare, naturally occurring phenomenon in which one side of the animal appears male and the other female) to investigate the sex-determining mechanism in birds. These studies demonstrated that gynandromorph birds are genuine male:female chimaeras, and indicated that male and female avian somatic cells may have an inherent sex identity. To test this hypothesis, we transplanted presumptive mesoderm between embryos of reciprocal sexes to generate embryos containing male:female chimaeric gonads. In contrast to the outcome for mammalian mixed-sex chimaeras, in chicken mixed-sex chimaeras the donor cells were excluded from the functional structures of the host gonad. In an example where female tissue was transplanted into a male host, donor cells contributing to the developing testis retained a female identity and expressed a marker of female function. Our study demonstrates that avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous.",Somatic sex identity is cell-autonomous in the chicken,"['These studies demonstrated that gynandromorph birds are genuine male:female chimaeras, and indicated that male and female avian somatic cells may have an inherent sex identity.', 'In an example where female tissue was transplanted into a male host, donor cells contributing to the developing testis retained a female identity and expressed a marker of female function.', 'Our study demonstrates that avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous.']",Supported,[4388470],"{'4388470': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",Supported,"The simulation output indicates the presence of a gynandromorph chicken, which demonstrates that somatic cells can have different sex identities (male and female) within the same organism, supporting the claim of cell autonomous sex determination in Galliformes.",True
241,Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,cellular,"Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of 1 day. Consequently, coupling between such cycles can lead to synchronization. Here, we estimated the mutual interactions between the two oscillators by time-lapse imaging of single mammalian NIH3T3 fibroblasts during several days. The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression. In principle, such synchrony may be caused by either unidirectional or bidirectional coupling. While gating of cell division by the circadian cycle has been most studied, our data combined with stochastic modeling unambiguously show that the reverse coupling is predominant in NIH3T3 cells. Moreover, temperature, genetic, and pharmacological perturbations showed that the two interacting cellular oscillators adopt a synchronized state that is highly robust over a wide range of parameters. These findings have implications for circadian function in proliferative tissues, including epidermis, immune cells, and cancer.",Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells,"['The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.']",Supported,"[2212067, 10608822]","{'2212067': [{'sentences': [3], 'label': 'SUPPORT'}]}",Supported,"The simulation output indicates that the circadian cycle time is consistently 24 hours and that the next division time is linked to this cycle, suggesting a relationship between cellular clocks and mitosis timing.",True
242,Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,cellular,"Circadian cycles and cell cycles are two fundamental periodic processes with a period in the range of 1 day. Consequently, coupling between such cycles can lead to synchronization. Here, we estimated the mutual interactions between the two oscillators by time-lapse imaging of single mammalian NIH3T3 fibroblasts during several days. The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression. In principle, such synchrony may be caused by either unidirectional or bidirectional coupling. While gating of cell division by the circadian cycle has been most studied, our data combined with stochastic modeling unambiguously show that the reverse coupling is predominant in NIH3T3 cells. Moreover, temperature, genetic, and pharmacological perturbations showed that the two interacting cellular oscillators adopt a synchronized state that is highly robust over a wide range of parameters. These findings have implications for circadian function in proliferative tissues, including epidermis, immune cells, and cancer.",Robust synchronization of coupled circadian and cell cycle oscillators in single mammalian cells,"['The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.']",Refuted,"[2212067, 10608822]","{'2212067': [{'sentences': [3], 'label': 'CONTRADICT'}]}",Refuted,"The simulation output indicates that NIH 3T3 cells have a circadian cycle time of 24 hours and consistently divide at 0 hours, suggesting that cellular clocks are indeed predictive of mitosis timing.",True
243,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",cellular,"DNA replication in mammals is regulated via the coordinate firing of clusters of replicons that duplicate megabase-sized chromosome segments at specific times during S-phase. Cytogenetic studies show that these ""replicon clusters"" coalesce as subchromosomal units that persist through multiple cell generations, but the molecular boundaries of such units have remained elusive. Moreover, the extent to which changes in replication timing occur during differentiation and their relationship to transcription changes has not been rigorously investigated. We have constructed high-resolution replication-timing profiles in mouse embryonic stem cells (mESCs) before and after differentiation to neural precursor cells. We demonstrate that chromosomes can be segmented into multimegabase domains of coordinate replication, which we call ""replication domains,"" separated by transition regions whose replication kinetics are consistent with large originless segments. The molecular boundaries of replication domains are remarkably well conserved between distantly related ESC lines and induced pluripotent stem cells. Unexpectedly, ESC differentiation was accompanied by the consolidation of smaller differentially replicating domains into larger coordinately replicated units whose replication time was more aligned to isochore GC content and the density of LINE-1 transposable elements, but not gene density. Replication-timing changes were coordinated with transcription changes for weak promoters more than strong promoters, and were accompanied by rearrangements in subnuclear position. We conclude that replication profiles are cell-type specific, and changes in these profiles reveal chromosome segments that undergo large changes in organization during differentiation. Moreover, smaller replication domains and a higher density of timing transition regions that interrupt isochore replication timing define a novel characteristic of the pluripotent state.",Global Reorganization of Replication Domains During Embryonic Stem Cell Differentiation,"['Replication-timing changes were coordinated with transcription changes for weak promoters more than strong promoters, and were accompanied by rearrangements in subnuclear position.']",Supported,[8148122],"{'8148122': [{'sentences': [7], 'label': 'SUPPORT'}]}",Refuted,"The simulation output shows changes in replication timing and transcription level, but does not provide any evidence of changes in nuclear localization.",False
245,Charcoal is an effective treatment for acute paraquat poisoning.,medicine,"The present study retrospectively analyzed 19 patients diagnosed with paraquat (PQ) poisoning with the aim to investigate the effect of activated charcoal hemoperfusion on renal function and PQ elimination. The results indicated that 7 patients died and 12 survived. Non-oliguric renal failure occurred in all of the 7 patients who died. Among the 12 surviving patients, 10 had normal renal function and 2 developed non-oliguric renal failure. There was a linear correlation between plasma and urine paraquat concentration prior to and during activated charcoal hemoperfusion. The equation parameters together with the correlation coefficient on admission were as follows: Y=0.5820+1.7348X (R2=0.678; F=35.768; P<0.0001). The equation parameters together with the correlation coefficient were as follows during activated charcoal hemoperfusion: Y=0.6827+1.2649X (R2=0.626; F=50.308; P<0.0001). Therefore, it was concluded that in patients with normal renal function, the elimination kinetics of PQ by the kidneys were only associated with the plasma PQ concentration. Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.",Effect of activated charcoal hemoperfusion on renal function in patients with paraquat poisoning.,['Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.'],Refuted,"[8447873, 3430789]","{'3430789': [{'sentences': [8], 'label': 'CONTRADICT'}]}",Refuted,"The simulation output indicates that the effect of charcoal was minimal or had little effect on the patients, and some patients did not survive despite treatment.",True
246,Charcoal shows no benefit for acute paraquat poisoning.,biology,"The present study retrospectively analyzed 19 patients diagnosed with paraquat (PQ) poisoning with the aim to investigate the effect of activated charcoal hemoperfusion on renal function and PQ elimination. The results indicated that 7 patients died and 12 survived. Non-oliguric renal failure occurred in all of the 7 patients who died. Among the 12 surviving patients, 10 had normal renal function and 2 developed non-oliguric renal failure. There was a linear correlation between plasma and urine paraquat concentration prior to and during activated charcoal hemoperfusion. The equation parameters together with the correlation coefficient on admission were as follows: Y=0.5820+1.7348X (R2=0.678; F=35.768; P<0.0001). The equation parameters together with the correlation coefficient were as follows during activated charcoal hemoperfusion: Y=0.6827+1.2649X (R2=0.626; F=50.308; P<0.0001). Therefore, it was concluded that in patients with normal renal function, the elimination kinetics of PQ by the kidneys were only associated with the plasma PQ concentration. Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.",Effect of activated charcoal hemoperfusion on renal function in patients with paraquat poisoning.,['Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.'],Supported,"[8447873, 3430789]","{'3430789': [{'sentences': [8], 'label': 'SUPPORT'}]}",Supported,"The simulation results indicate that in two cases (Patient 1 and Patient 4), activated charcoal showed no benefit, while in the other two cases (Patients 2 and 3), it had only a little effect. This supports the claim that charcoal shows no significant benefit for acute paraquat poisoning.",True
250,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,medicine,"The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the discovery of functional BAT in humans. In rodents, BAT can be activated by bile acids, which activate type 2 iodothyronine deiodinase (D2) in BAT via the G-coupled protein receptor TGR5, resulting in increased oxygen consumption and energy expenditure. Here we examined the effects of oral supplementation of the bile acid chenodeoxycholic acid (CDCA) on human BAT activity. Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity. Whole-body energy expenditure was also increased upon CDCA treatment. In vitro treatment of primary human brown adipocytes derived with CDCA or specific TGR5 agonists increased mitochondrial uncoupling and D2 expression, an effect that was absent in human primary white adipocytes. These findings identify bile acids as a target to activate BAT in humans.",The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.,['Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.'],Refuted,[1568684],"{'1568684': [{'sentences': [3], 'label': 'CONTRADICT'}]}",Supported,The simulation output indicates that the treatment with Chenodeoxycholic acid has been applied to brown adipose tissue and confirms that the claim is supported by stating that the treatment decreases brown adipose tissue activity.,False
251,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,medicine,"The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the discovery of functional BAT in humans. In rodents, BAT can be activated by bile acids, which activate type 2 iodothyronine deiodinase (D2) in BAT via the G-coupled protein receptor TGR5, resulting in increased oxygen consumption and energy expenditure. Here we examined the effects of oral supplementation of the bile acid chenodeoxycholic acid (CDCA) on human BAT activity. Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity. Whole-body energy expenditure was also increased upon CDCA treatment. In vitro treatment of primary human brown adipocytes derived with CDCA or specific TGR5 agonists increased mitochondrial uncoupling and D2 expression, an effect that was absent in human primary white adipocytes. These findings identify bile acids as a target to activate BAT in humans.",The Bile Acid Chenodeoxycholic Acid Increases Human Brown Adipose Tissue Activity.,['Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.'],Supported,[1568684],"{'1568684': [{'sentences': [3], 'label': 'SUPPORT'}]}",Supported,The simulation shows an increase in brown adipose tissue activity from 0 to 1 after treatment with Chenodeoxycholic acid.,True
256,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,population,"BACKGROUND Population-based estimates of prevalence, risk distribution, and intervention uptake inform delivery of control programmes for sexually transmitted infections (STIs). We undertook the third National Survey of Sexual Attitudes and Lifestyles (Natsal-3) after implementation of national sexual health strategies, and describe the epidemiology of four STIs in Britain (England, Scotland, and Wales) and the uptake of interventions.   
 METHODS Between Sept 6, 2010 and Aug 31, 2012 , we did a probability sample survey of 15,162 women and men aged 16-74 years in Britain. Participants were interviewed with computer-assisted face-to-face and self-completion questionnaires. Urine from a sample of participants aged 16-44 years who reported at least one sexual partner over the lifetime was tested for the presence of Chlamydia trachomatis, type-specific human papillomavirus (HPV), Neisseria gonorrhoeae, and HIV antibody. We describe age-specific and sex-specific prevalences of infection and intervention uptake, in relation to demographic and behavioural factors, and explore changes since Natsal-1 (1990-91) and Natsal-2 (1999-2001).   
 FINDINGS Of 8047 eligible participants invited to provide a urine sample, 4828 (60%) agreed. We excluded 278 samples, leaving 4550 (94%) participants with STI test results. Chlamydia prevalence was 1·5% (95% CI 1·1-2·0) in women and 1·1% (0·7-1·6) in men. Prevalences in individuals aged 16-24 years were 3·1% (2·2-4·3) in women and 2·3% (1·5-3·4) in men. Area-level deprivation and higher numbers of partners, especially without use of condoms, were risk factors. However, 60·4% (45·5-73·7) of chlamydia in women and 43·3% (25·9-62·5) in men was in individuals who had had one partner in the past year. Among sexually active 16-24-year-olds, 54·2% (51·4-56·9) of women and 34·6% (31·8-37·4) of men reported testing for chlamydia in the past year, with testing higher in those with more partners. High-risk HPV was detected in 15·9% (14·4-17·5) of women, similar to in Natsal-2. Coverage of HPV catch-up vaccination was 61·5% (58·2-64·7). Prevalence of HPV types 16 and 18 in women aged 18-20 years was lower in Natsal-3 than Natsal-2 (5·8% [3·9-8·6] vs 11·3% [6·8-18·2]; age-adjusted odds ratio 0·44 [0·21-0·94]). Gonorrhoea (<0·1% prevalence in women and men) and HIV (0·1% prevalence in women and 0·2% in men) were uncommon and restricted to participants with recognised high-risk factors. Since Natsal-2, substantial increases were noted in attendance at sexual health clinics (from 6·7% to 21·4% in women and from 7·7% to 19·6% in men) and HIV testing (from 8·7% to 27·6% in women and from 9·2% to 16·9% in men) in the past 5 years.   
 INTERPRETATION STIs were distributed heterogeneously, requiring general and infection-specific interventions. Increases in testing and attendance at sexual health clinics, especially in people at highest risk, are encouraging. However, STIs persist both in individuals accessing and those not accessing services. Our findings provide empirical evidence to inform future sexual health interventions and services.   
 FUNDING Grants from the UK Medical Research Council and the Wellcome Trust, with support from the Economic and Social Research Council and the Department of Health.","Prevalence, risk factors, and uptake of interventions for sexually transmitted infections in Britain: findings from the National Surveys of Sexual Attitudes and Lifestyles (Natsal)",['Prevalences in individuals aged 16-24 years were 3·1% (2·2-4·3) in women and 2·3% (1·5-3·4) in men.'],Supported,[5850219],"{'5850219': [{'sentences': [10], 'label': 'SUPPORT'}]}",Supported,"The simulation output indicates that Chlamydia trachomatis has a significant prevalence among individuals aged 16 to 24, with specific percentages provided for both females and males, confirming the claim.",True
258,"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",directional,"Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types. Here, using Myh11-CreERT2 ROSA floxed STOP eYFP Apoe−/− mice to perform SMC lineage tracing, we find that traditional methods for detecting SMCs based on immunostaining for SMC markers fail to detect >80% of SMC-derived cells within advanced atherosclerotic lesions. These unidentified SMC-derived cells exhibit phenotypes of other cell lineages, including macrophages and mesenchymal stem cells (MSCs). SMC-specific conditional knockout of Krüppel-like factor 4 (Klf4) resulted in reduced numbers of SMC-derived MSC- and macrophage-like cells, a marked reduction in lesion size, and increases in multiple indices of plaque stability, including an increase in fibrous cap thickness as compared to wild-type controls. On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs. Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.",KLF4-dependent phenotypic modulation of smooth muscle cells has a key role in atherosclerotic plaque pathogenesis,"['On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs.', 'Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.']",Supported,[22080671],"{'22080671': [{'sentences': [4, 5], 'label': 'SUPPORT'}]}",Supported,"The simulation shows that after loading cholesterol into Vascular Smooth Muscle Cells (VSMCs), KLF4 expression increased from 0 to 1, and pro-inflammatory cytokines increased from 0 to 2, supporting the claim.",True
263,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,cellular,"The early events leading to the development of rheumatoid arthritis (RA) remain unclear, but formation of autoantibodies to citrullinated protein antigens (ACPAs) is considered a key pathogenic event. Neutrophils isolated from patients with various autoimmune diseases display enhanced neutrophil extracellular trap (NET) formation, a phenomenon that exposes autoantigens in the context of immunostimulatory molecules. We investigated whether aberrant NETosis occurs in RA, determined its triggers, and examined its deleterious inflammatory consequences. Enhanced NETosis was observed in circulating and RA synovial fluid neutrophils compared to neutrophils from healthy controls and from patients with osteoarthritis (OA). Further, netting neutrophils infiltrated RA synovial tissue, rheumatoid nodules, and skin. NETosis correlated with ACPA presence and levels and with systemic inflammatory markers. RA sera and immunoglobulin fractions from RA patients with high levels of ACPA and/or rheumatoid factor significantly enhanced NETosis, and the NETs induced by these autoantibodies displayed distinct protein content. Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation. Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis factor-α (TNF-α) induced NETosis in RA neutrophils. In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules. These observations implicate accelerated NETosis in RA pathogenesis, through externalization of citrullinated autoantigens and immunostimulatory molecules that may promote aberrant adaptive and innate immune responses in the joint and in the periphery, and perpetuate pathogenic mechanisms in this disease.",NETs are a source of citrullinated autoantigens and stimulate inflammatory responses in rheumatoid arthritis.,"['Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.', 'In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.']",Refuted,"[11328820, 30041340, 14853989]","{'11328820': [{'sentences': [7, 9], 'label': 'CONTRADICT'}], '30041340': [{'sentences': [0, 1], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",None,"The simulation output indicates a simulation error, which prevents any verification of the claim.",False
263,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,cellular,"BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs). Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA).   
 OBJECTIVE The objective of this paper is to test the hypothesis that RA sera react with deiminated histones contained in NETs.   
 METHODS Neutrophils from peripheral blood were stimulated with A23187 and acid treated; NETosis was induced by phorbol myristate acetate, and NET proteins were isolated. Sera were tested by immunoblot on acid extracted proteins from neutrophils and from NETs, and by ELISA on deiminated histone H4 or H4-derived peptides. Bands reactive with RA sera were excised from gels, digested with trypsin and subjected to matrix-assisted laser desorption/ionisation time of flight (MALDI-TOF) analysis, before and after derivatisation to detect citrullinated peptides.   
 RESULTS RA sera reacted with a deiminated antigen of 11 KDa from activated neutrophils, recognised also by anti-H4 and antideiminated H4 antibodies. A similar reactivity was observed with NET proteins. The antigen from neutrophils or NETs was identified as citrullinated H4 by MALDI-TOF analysis. By ELISA, RA sera bound in vitro citrullinated H4. Citrullinated H4 14-34 and 31-50 peptides detected antibodies in 67% and 63% of RA sera and in less than 5% of controls; antibody titre was correlated with anti-CCP2.   
 CONCLUSIONS Citrullinated H4 from activated neutrophils and NETs is a target of antibodies in RA, and synthetic citrullinated H4-derived peptides are a new substrate for ACPA detection. As NETosis can generate antigens for ACPA, these data suggest a novel connection between innate and adaptive immunity in RA.",Antibodies from patients with rheumatoid arthritis target citrullinated histone 4 contained in neutrophils extracellular traps.,"['BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs).', 'Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA).   \n', 'CONCLUSIONS Citrullinated H4 from activated neutrophils and NETs is a target of antibodies in RA, and synthetic citrullinated H4-derived peptides are a new substrate for ACPA detection.']",Refuted,"[11328820, 30041340, 14853989]","{'11328820': [{'sentences': [7, 9], 'label': 'CONTRADICT'}], '30041340': [{'sentences': [0, 1], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",None,"The simulation output indicates a simulation error, which prevents any verification of the claim.",False
264,Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,cellular,"The early events leading to the development of rheumatoid arthritis (RA) remain unclear, but formation of autoantibodies to citrullinated protein antigens (ACPAs) is considered a key pathogenic event. Neutrophils isolated from patients with various autoimmune diseases display enhanced neutrophil extracellular trap (NET) formation, a phenomenon that exposes autoantigens in the context of immunostimulatory molecules. We investigated whether aberrant NETosis occurs in RA, determined its triggers, and examined its deleterious inflammatory consequences. Enhanced NETosis was observed in circulating and RA synovial fluid neutrophils compared to neutrophils from healthy controls and from patients with osteoarthritis (OA). Further, netting neutrophils infiltrated RA synovial tissue, rheumatoid nodules, and skin. NETosis correlated with ACPA presence and levels and with systemic inflammatory markers. RA sera and immunoglobulin fractions from RA patients with high levels of ACPA and/or rheumatoid factor significantly enhanced NETosis, and the NETs induced by these autoantibodies displayed distinct protein content. Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation. Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis factor-α (TNF-α) induced NETosis in RA neutrophils. In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules. These observations implicate accelerated NETosis in RA pathogenesis, through externalization of citrullinated autoantigens and immunostimulatory molecules that may promote aberrant adaptive and innate immune responses in the joint and in the periphery, and perpetuate pathogenic mechanisms in this disease.",NETs are a source of citrullinated autoantigens and stimulate inflammatory responses in rheumatoid arthritis.,"['Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.', 'Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis factor-α (TNF-α) induced NETosis in RA neutrophils.', 'In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.', 'These observations implicate accelerated NETosis in RA pathogenesis, through externalization of citrullinated autoantigens and immunostimulatory molecules that may promote aberrant adaptive and innate immune responses in the joint and in the periphery, and perpetuate pathogenic mechanisms in this disease.']",Supported,[11328820],"{'11328820': [{'sentences': [7, 8, 9, 10], 'label': 'SUPPORT'}]}",Supported,"The simulation output indicates the presence of autoantibodies against citrullinated proteins, which supports the claim that these proteins contribute to the inflammatory cycle through the induction of autoantibodies.",True
265,Clathrin stabilizes the spindle fiber apparatus during mitosis.,biology,"Clathrin has an established function in the generation of vesicles that transfer membrane and proteins around the cell. The formation of clathrin-coated vesicles occurs continuously in non-dividing cells, but is shut down during mitosis, when clathrin concentrates at the spindle apparatus. Here, we show that clathrin stabilizes fibres of the mitotic spindle to aid congression of chromosomes. Clathrin bound to the spindle directly by the amino-terminal domain of clathrin heavy chain. Depletion of clathrin heavy chain using RNA interference prolonged mitosis; kinetochore fibres were destabilized, leading to defective congression of chromosomes to the metaphase plate and persistent activation of the spindle checkpoint. Normal mitosis was rescued by clathrin triskelia but not the N-terminal domain of clathrin heavy chain, indicating that stabilization of kinetochore fibres was dependent on the unique structure of clathrin. The importance of clathrin for normal mitosis may be relevant to understanding human cancers that involve gene fusions of clathrin heavy chain.",Clathrin is required for the function of the mitotic spindle,"['Here, we show that clathrin stabilizes fibres of the mitotic spindle to aid congression of chromosomes.', 'Depletion of clathrin heavy chain using RNA interference prolonged mitosis; kinetochore fibres were destabilized, leading to defective congression of chromosomes to the metaphase plate and persistent activation of the spindle checkpoint.', 'Normal mitosis was rescued by clathrin triskelia but not the N-terminal domain of clathrin heavy chain, indicating that stabilization of kinetochore fibres was dependent on the unique structure of clathrin.']",Supported,[2033917],"{'2033917': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",None,"The simulation output contains conflicting statements, both supporting and refuting the claim, leading to ambiguity.",False
266,Cnn1 recruitment varies with cell cycle timing.,cellular,"Kinetochores attach the replicated chromosomes to the mitotic spindle and orchestrate their transmission to the daughter cells. Kinetochore–spindle binding and chromosome segregation are mediated by the multi-copy KNL1Spc105, MIS12Mtw1 and NDC80Ndc80 complexes that form the so-called KMN network. KMN–spindle attachment is regulated by the Aurora BIpl1 and MPS1Mps1 kinases. It is unclear whether other mechanisms exist that support KMN activity during the cell cycle. Using budding yeast, we show that kinetochore protein Cnn1 localizes to the base of the Ndc80 complex and promotes a functionally competent configuration of the KMN network. Cnn1 regulates KMN activity in a spatiotemporal manner by inhibiting the interaction between its complexes. Cnn1 activity peaks in anaphase and is driven by the Cdc28, Mps1 and Ipl1 kinases.",Cnn1 inhibits the interactions between the KMN complexes of the yeast kinetochore,"['Cnn1 regulates KMN activity in a spatiotemporal manner by inhibiting the interaction between its complexes.', 'Cnn1 activity peaks in anaphase and is driven by the Cdc28, Mps1 and Ipl1 kinases.']",Supported,[22405338],"{'22405338': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",Supported,"The simulation output shows varying Cnn1 activity levels across different cell cycle phases (G1, S, G2, M), indicating that Cnn1 recruitment does indeed vary with cell cycle timing.",True
